"","Project Name","Developer","Address","Zip Code","State","Proposed / Completed","Type:  Affordable, Mixed or Market","Total Units","Affordable Units","RDA $","HTF $","Completed Before 2008","Completed After 2008","location","lon","lat"
"45","City Park","Apartment Management Consultants, LLC","780 North 900 West",84116,"Utah","Completed","Market",NA,NA,NA,152000,NA,NA,"780 North 900 West, `Salt Lake City`, UT 84116",-111.9155034,40.7865082
"46","City Plaza Apartments for Srs","Housing Authority of Salt Lake City","1992 South 200 East",84115,"Utah","Completed","Market",150,NA,NA,NA,NA,NA,"1992 South 200 East, `Salt Lake City`, UT 84115",-111.8857005,40.7269831
"47","Cliffside Apartments","Lotus Residential","720 North Wall st",84103,"Utah","Completed","Market",27,NA,NA,NA,NA,NA,"720 North Wall st, `Salt Lake City`, UT 84103",-111.8960549,40.7849089
"48","Cornell Street Project","Little Diamond Housing (Peter Caroon)","211 North Cornell St",84116,"Utah","Proposed","Mixed",146,131,NA,NA,NA,NA,"211 North Cornell St, `Salt Lake City`, UT 84116",-111.9345127,40.7742709
"49","Country Oaks II","Compass Capital","325 North 700 West",84116,"Utah","Completed","Market",17,NA,NA,NA,NA,NA,"325 North 700 West, `Salt Lake City`, UT 84116",-111.911975,40.77657
"50","County High Rise","Housing Authority of the County of Salt Lake","1966 South 200 East",84115,"Utah","Completed","Market",149,NA,NA,NA,NA,NA,"1966 South 200 East, `Salt Lake City`, UT 84115",-111.8861341,40.7273809
"51","Denver Street","Housing Authority of Salt Lake City/HAME","770 South Denver Street",84111,"Utah","Completed","Affordable",21,21,NA,NA,NA,NA,"770 South Denver Street, `Salt Lake City`, UT 84111",-111.878228,40.752694
"52","Downtown 360","Garbett Homes","360 South 400 West",84101,"Utah","Completed","Market",151,0,NA,NA,NA,NA,"360 South 400 West, `Salt Lake City`, UT 84101",-111.9026415,40.7613502
"53","Eastpointe","Core communities and Investment","133 South 900 East",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"133 South 900 East, `Salt Lake City`, UT 84102",-111.8647616,40.7661656
"54","Eastside Apartments","PEG Dev","350 South 600 East",84102,"Utah","Completed","Market",174,NA,NA,NA,NA,NA,"350 South 600 East, `Salt Lake City`, UT 84102",-111.8741311,40.7616893
"55","Edison Place Apartments","Pinnacle Management","134 East 1300 South",84115,"Utah","Completed","Market",95,NA,NA,NA,NA,NA,"134 East 1300 South, `Salt Lake City`, UT 84115",-111.8870577,40.7413668
"56","Enclave at 1400 South","Wasatch Advantage Group","1445 South 300 West",84115,"Utah","Completed","Affordable",210,210,NA,NA,NA,NA,"1445 South 300 West, `Salt Lake City`, UT 84115",-111.8983895,40.737987
"57","Encore","Wasatch Advantage Group","489 East 400 South",84111,"Utah","Completed","Market",189,NA,NA,NA,NA,NA,"489 East 400 South, `Salt Lake City`, UT 84111",-111.8770966,40.7609085
"58","Escalante Park (Phase I)","UNPHC","1636 West 1000 North",84116,"Utah","Completed","Market",32,NA,NA,NA,NA,NA,"1636 West 1000 North, `Salt Lake City`, UT 84116",-111.9371869,40.7914407
"59","Escalante Park II","UNPHC","1660 West 10000 North",84116,"Utah","Completed","Market",20,NA,NA,3e+05,NA,NA,"1660 West 10000 North, `Salt Lake City`, UT 84116",-111.9381827,40.7719352
"60","Escalante Park III Apartments","UNPHC","1040 North Redwood Road",84116,"Utah","Completed","Affordable",100,100,NA,NA,NA,NA,"1040 North Redwood Road, `Salt Lake City`, UT 84116",-111.938058,40.792179
"61","Euclid Corners Townhomes","Neighborworks","1000 West 200 South",84104,"Utah","Proposed","Market",16,0,NA,1525000,NA,NA,"1000 West 200 South, `Salt Lake City`, UT 84104",-111.9196925,40.7649781
"62","Faultine Apartments","Housing Authority of Salt Lake City/HAME","1025 East 400 South",84102,"Utah","Completed","Affordable",35,35,NA,NA,NA,NA,"1025 East 400 South, `Salt Lake City`, UT 84102",-111.861368,40.761278
"63","First step House","First Step House","411 North Grant Street",84116,"Utah","Completed","Affordable",61,61,NA,NA,NA,NA,"411 North Grant Street, `Salt Lake City`, UT 84116",-111.9127983,40.7785073
"64","First step House Recovery Campus","First Step House","440 South 500 East",84102,"Utah","Completed","Affordable",50,50,NA,NA,NA,NA,"440 South 500 East, `Salt Lake City`, UT 84102",-111.8773227,40.7594869
"65","Foothill Place","Apartment Management Consultants, LLC","2260 Foothill Drive",84109,"Utah","Completed","Market",NA,NA,NA,720000,NA,NA,"2260 Foothill Drive, `Salt Lake City`, UT 84109",-111.8146017,40.7215519
"66","Freedom Landing","Housing Authority of Salt Lake City","1900 West North Temple",84116,"Utah","Completed","Affordable",110,110,NA,750000,NA,NA,"1900 West North Temple, `Salt Lake City`, UT 84116",-111.9457223,40.7721947
"67","Friendship Manor","Tamarack Property Management","1320 East 500 South",84102,"Utah","Completed","Market",178,NA,NA,NA,NA,NA,"1320 East 500 South, `Salt Lake City`, UT 84102",-111.8532351,40.7579283
"68","Garfield Apartments","Concept Property","1150 East Garfield Avenue",84105,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"1150 East Garfield Avenue, `Salt Lake City`, UT 84105",-111.8582823,40.7300151
"69","Glendale Senior Housing","UNPHC","1239 South Glendale Drive",84104,"Utah","Completed","Affordable",41,41,NA,NA,NA,NA,"1239 South Glendale Drive, `Salt Lake City`, UT 84104",-111.9285012,40.742291
"70","Glynnhill","Core communities and Investment","1997 South 2100 East",84108,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"1997 South 2100 East, `Salt Lake City`, UT 84108",-111.830455,40.7267767
"71","Granary Place","JF Capital Partners","258 West 700 South",84101,"Utah","Proposed","Affordable",134,134,NA,NA,NA,NA,"258 West 700 South, `Salt Lake City`, UT 84101",-111.898557,40.754899
"72","Green st Cottages","Diamond J","661 South Green st",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"661 South Green st, `Salt Lake City`, UT 84102",-111.872181,40.7545379
"73","HAME Multi-Family Apartments","Housing Authority of Salt Lake City/HAME","330 North 800 West",84116,"Utah","Completed","Affordable",25,25,NA,NA,NA,NA,"330 North 800 West, `Salt Lake City`, UT 84116",-111.913136,40.776682
"74","Hamilton Place","UNPHC","764 South 800 East",84102,"Utah","Completed","Market",64,NA,NA,NA,NA,NA,"764 South 800 East, `Salt Lake City`, UT 84102",-111.8689346,40.7525552
"75","Hardison Apts","Garbett Homes","500 East South Temple",84102,"Utah","Proposed","Market",77,NA,NA,1200000,NA,NA,"500 East South Temple, `Salt Lake City`, UT 84102",-111.8767714,40.7684568
"76","Hardware Village","SALT Development","487 West 200 North",84103,"Utah","Completed","Market",460,0,NA,NA,NA,NA,"487 West 200 North, `Salt Lake City`, UT 84103",-111.904342,40.7736999
"77","Harris Apartments","Kier Management","836 South 500 East",84102,"Utah","Completed","Market",21,NA,NA,NA,NA,NA,"836 South 500 East, `Salt Lake City`, UT 84102",-111.877335,40.750924
"78","Hawthorne Court","Housing Authority of Salt Lake City--HAME","727 East 600 South",84102,"Utah","Completed","Market",88,NA,NA,3e+05,NA,NA,"727 East 600 South, `Salt Lake City`, UT 84102",-111.869838,40.7568899
"79","Housing Authority of the County of Salt Lake Section 8 Prop","Housing Authority of the County of Salt Lake","872 West 500 South",84104,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"872 West 500 South, `Salt Lake City`, UT 84104",-111.9163549,40.7587673
"80","Ivy House","UNPHC","1076 East 200 South",84102,"Utah","Completed","Market",24,NA,NA,NA,NA,NA,"1076 East 200 South, `Salt Lake City`, UT 84102",-111.8599271,40.7647158
"81","Jackson Apartments","Key Property Management","274 West 200 South",84101,"Utah","Completed","Market",80,NA,NA,NA,NA,NA,"274 West 200 South, `Salt Lake City`, UT 84101",-111.8991112,40.7654112
"82","Jacob Apartments","UNPHC","303 East 600 South",84111,"Utah","Completed","Market",12,NA,NA,NA,NA,NA,"303 East 600 South, `Salt Lake City`, UT 84111",-111.8821787,40.756578
"83","James Kier Senior Apartments","UNPHC","260 East 800 South",84111,"Utah","Completed","Market",51,NA,NA,NA,NA,NA,"260 East 800 South, `Salt Lake City`, UT 84111",-111.883328,40.7515224
"84","Jefferson Circle","Housing Authority of Salt Lake City/HAME","1750  South Jefferson Circle",84115,"Utah","Completed","Affordable",20,20,NA,2e+05,NA,NA,"1750  South Jefferson Circle, `Salt Lake City`, UT 84115",-111.895518,40.732156
"85","Jefferson School Phase I Apartments","Housing Authority of Salt Lake City --HAME","1099 South West Temple",84101,"Utah","Completed","Mixed",110,46,NA,NA,NA,NA,"1099 South West Temple, `Salt Lake City`, UT 84101",-111.8938188,40.7461435
