place,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""4936290""","""Honeyville""",0.96,885.50,290.07,7508.12,50,59,56,23,28,27,28,30,29,11.44,0.77,2.35,2,2,28246,25473,26146,0,0,0,17538,15473,15815,13404,11756,11999,4117,3712,3810,17,5,7,15,4,6,0.8,0.8,0.33,0.04,1282,96,1303,81,84,10,2463,1208,1243,297,90,10
"""4936400""","""Hooper""",2.88,7930.71,2275.81,16753.95,59,70,67,33,41,38,27,29,28,12.40,5.48,2.27,2,2,27709,24853,25547,0,0,0,16995,14877,15235,12947,11254,11511,4039,3621,3722,9,2,2,8,1,1,0.3,2.6,0.35,0.14,4895,99,3747,84,58,12,3398,1728,1733,455,96,4
"""4936620""","""Howell""",0.09,74.75,23.30,22569.93,52,61,59,22,27,26,30,34,33,11.96,0.01,2.64,2,3,28677,25880,26560,2,1,1,19326,17306,17621,15083,13487,13699,4180,3771,3870,63,49,51,57,44,46,0.0,0.8,0.29,0.00,348,93,439,77,1018,2,5658,1165,1198,582,95,5
"""4936730""","""Hoytsville""",0.32,386.11,107.88,2837.57,35,42,57,17,21,29,18,21,28,12.12,1.84,2.28,2,2,26748,23985,25464,1,0,0,16891,15439,15084,12991,11943,11373,3899,3496,3710,0,0,0,53,4,5,1.0,0.4,0.25,0.04,1271,84,1425,82,70,8,3844,1305,1466,838,75,25
"""4936950""","""Huntington""",0.35,378.58,135.55,1440.46,48,55,44,19,24,18,28,31,26,10.23,1.00,1.93,2,2,24961,22315,24470,2,2,2,14164,12392,14172,10490,9106,10570,3637,3253,3566,37,33,36,31,28,31,2.9,5.0,1.33,0.09,860,69,873,77,56,17,1673,802,853,645,80,20
"""4937060""","""Huntsville""",0.13,159.33,55.25,499.25,54,64,61,29,36,34,25,28,27,10.44,1.16,2.13,2,2,26856,24055,24735,1,1,1,16104,14115,14454,12146,10588,10824,3915,3505,3604,43,22,26,39,20,23,3.2,2.7,0.37,0.11,1504,68,1755,81,37,34,2375,1530,1632,1090,81,19
"""4937170""","""Hurricane""",2.54,9251.52,3096.77,32888.47,54,65,51,26,32,24,28,32,27,10.22,2.85,1.97,2,2,25276,22746,24891,1,1,1,14417,13175,14441,10729,9856,10810,3683,3314,3627,5,4,4,11,10,10,2.7,1.4,2.00,0.09,1558,77,1506,81,83,14,2655,1095,1143,1011,68,32
"""4937390""","""Hyde Park""",2.63,4188.84,1136.37,2778.55,65,77,58,33,41,31,32,35,28,12.04,7.36,2.19,2,2,27178,24609,25261,0,0,0,15885,14238,14889,11925,10652,11208,3960,3586,3681,0,0,0,0,0,0,1.4,1.4,1.40,0.41,4041,96,5105,86,30,46,1621,1384,1423,989,91,9
"""4937500""","""Hyrum""",3.04,3721.82,984.39,3058.15,58,69,52,27,34,25,31,35,27,11.84,5.07,2.14,2,2,26693,24097,24747,1,1,1,15565,14018,14652,11664,10494,11032,3889,3511,3606,11,13,13,10,11,11,2.5,1.0,1.53,0.32,2468,82,2784,84,28,41,1403,1134,1175,497,83,17
"""4937690""","""Independence""",0.23,831.57,244.15,19570.86,64,76,75,37,46,46,27,30,30,12.19,1.16,2.41,2,2,29110,26281,26437,0,0,0,17981,15904,15984,13731,12073,12130,4243,3829,3852,7,2,2,6,2,2,1.2,0.7,1.59,0.01,1437,93,1621,82,186,4,5092,2055,2098,123,91,9
"""4938710""","""Ivins""",1.45,3702.93,1282.60,6033.04,60,71,56,32,39,30,28,32,26,10.10,9.10,1.97,2,2,24367,21916,24036,1,1,1,14261,12898,14240,10702,9695,10729,3551,3193,3502,9,9,8,21,21,19,1.7,1.8,1.56,0.21,3777,93,2591,83,45,27,1697,1335,1397,1144,73,27
"""4939040""","""Jensen""",0.00,10.64,3.23,2062.47,52,62,62,26,32,32,27,30,30,11.62,0.02,2.40,2,2,27612,24908,25451,3,2,2,17748,15869,16098,13675,12200,12349,4025,3629,3709,48,40,40,41,34,34,0.7,1.5,0.09,0.00,294,72,371,76,580,3,4613,1428,1495,1181,79,21
"""4939370""","""Joseph""",0.00,3.16,0.96,580.65,64,75,55,28,35,24,36,40,31,11.86,0.02,2.36,2,2,26368,23821,26023,2,2,2,16725,14915,16848,12850,11410,13021,3842,3472,3792,33,33,35,28,28,30,0.2,0.5,0.29,0.00,265,91,304,76,402,3,4417,1069,1098,919,84,16
"""4939590""","""Junction""",0.11,102.42,29.35,8442.88,68,81,47,25,32,17,43,49,30,11.44,0.04,2.21,2,2,26400,23968,25766,2,2,2,15293,14214,16341,11415,10685,12550,3848,3494,3754,30,35,36,25,30,31,0.6,0.3,0.28,0.00,250,85,285,76,411,3,3989,760,800,625,77,23
"""4939810""","""Kamas""",0.21,270.47,87.32,2355.53,36,43,58,17,22,30,19,22,29,11.60,1.19,2.34,2,2,27282,24436,25985,1,0,0,17355,15909,15542,13378,12347,11755,3977,3562,3786,0,0,0,57,7,7,0.7,0.6,1.05,0.04,1093,87,1437,82,129,10,2672,1327,1444,852,81,19
"""4939920""","""Kanab""",1.70,1741.87,705.30,9253.33,44,52,41,21,26,20,28,32,27,9.73,4.08,1.93,2,2,23885,21439,24586,1,1,1,14025,12752,14439,10522,9607,10833,3480,3124,3582,23,20,24,19,17,20,0.8,1.9,0.83,0.08,1058,84,840,78,86,11,3176,885,928,697,77,23
"""4940030""","""Kanarraville""",0.00,2.87,1.08,284.72,65,76,53,26,32,21,39,43,31,10.25,0.04,2.40,2,2,27553,24913,26393,1,1,1,17094,15219,16940,13059,11568,13071,4015,3631,3846,20,20,24,17,17,20,0.1,0.3,0.35,0.00,372,91,433,77,473,3,4433,946,967,775,89,11
"""4940250""","""Kanosh""",0.00,0.57,0.22,542.93,56,68,53,22,27,21,35,40,33,10.34,0.00,2.55,2,3,27220,24663,26255,2,2,2,17875,16694,17620,13875,13067,13759,3966,3594,3826,34,33,35,29,28,30,0.0,0.6,0.29,0.00,243,95,295,76,990,2,6022,932,963,778,83,17
"""4940360""","""Kaysville""",12.45,25504.17,7131.25,6709.03,54,63,60,29,37,35,25,26,26,10.92,16.15,2.10,2,2,24835,22237,22864,2,2,2,15635,13442,13826,11978,10169,10461,3620,3240,3332,37,32,33,33,29,30,2.5,3.1,2.03,1.06,10335,86,10037,87,14,103,1180,1555,1563,601,85,15
"""4940470""","""Kearns""",21.15,34304.71,9312.85,2964.51,47,54,51,23,29,27,24,25,24,10.14,35.82,2.00,2,2,22646,20267,20799,4,4,4,14818,12624,13035,11414,9570,9902,3301,2953,3031,103,101,103,93,91,93,4.3,5.2,4.41,3.14,24310,91,20995,89,8,219,858,1202,1173,950,80,20
"""4941020""","""Kenilworth""",0.00,4.13,1.62,480.95,53,62,47,20,25,17,33,37,29,10.65,0.04,2.18,2,2,24942,22396,25315,2,2,2,15520,13807,15840,11854,10514,12118,3634,3264,3689,31,29,33,27,24,28,0.9,0.8,0.75,0.00,380,71,462,77,614,2,5144,777,769,801,74,26
"""4941350""","""Kingston""",0.01,8.70,2.68,3449.29,71,85,50,26,33,18,45,53,32,11.00,0.01,2.38,2,2,26854,24317,26096,2,2,2,16235,15122,17254,12291,11544,13413,3914,3544,3802,30,34,38,26,29,32,0.0,0.7,0.28,0.00,233,90,275,75,603,2,4951,789,816,568,89,11
"""4941680""","""Koosharem""",0.00,1.33,0.44,573.32,60,71,52,24,30,20,37,41,32,10.80,0.01,2.41,2,2,26373,23828,26022,2,2,2,16985,15181,17110,13106,11672,13280,3843,3473,3792,36,36,38,30,30,32,0.1,0.8,0.27,0.00,240,90,289,75,576,3,4711,916,971,626,84,16
"""4942230""","""Lake Shore""",0.78,745.43,214.49,6970.42,57,67,62,27,34,31,30,33,30,10.66,0.33,2.45,2,2,29874,27103,26539,0,0,0,18351,16325,16233,13996,12375,12365,4355,3949,3867,0,0,0,0,0,0,0.8,0.2,0.54,0.03,2384,91,3535,86,179,8,3246,1412,1506,944,82,18
"""4942560""","""Laketown""",0.01,8.06,2.58,1609.46,59,71,55,27,34,25,32,37,30,10.31,0.02,2.25,2,2,26884,24294,25343,2,2,2,16200,15070,15970,12247,11494,12240,3917,3540,3693,36,36,37,31,31,32,1.3,0.9,0.19,0.00,308,71,391,76,340,5,4341,1135,1301,615,76,24
"""4943110""","""La Sal""",0.02,22.36,9.30,30600.80,64,76,50,25,31,19,39,44,31,,,2.27,2,2,26877,24510,25217,2,3,3,16331,14761,16437,12373,11140,12713,3916,3573,3674,41,49,50,35,42,42,0.5,1.4,0.09,0.00,210,77,250,74,1408,2,7787,868,989,631,66,34
"""4943440""","""La Verkin""",1.64,3621.82,1103.73,8174.38,55,65,52,26,32,24,29,33,27,10.94,8.71,2.03,2,2,25474,22905,25055,1,1,1,14755,13437,14732,11037,10095,11075,3712,3338,3651,6,5,5,14,12,13,1.3,0.8,1.65,0.14,1633,87,1032,80,61,17,2435,1095,1126,975,79,21
"""4943660""","""Layton""",33.82,67492.34,21543.05,14101.02,48,55,53,24,30,29,23,25,24,10.00,22.20,1.99,2,2,23700,21133,21753,3,2,2,14870,12780,13147,11363,9654,9931,3455,3079,3170,52,46,47,47,42,42,4.0,3.5,3.89,1.53,12955,71,16206,89,13,119,1228,1288,1348,893,71,29
"""4943880""","""Leamington""",0.00,5.98,1.70,982.97,54,65,52,21,27,21,33,38,31,12.04,0.02,2.39,2,2,26933,24510,26048,1,2,2,16934,15772,16705,12983,12173,12881,3924,3571,3795,26,28,28,23,24,24,0.4,0.3,0.31,0.00,289,94,364,77,515,3,4356,922,994,746,71,29
"""4944100""","""Leeds""",0.10,141.48,49.43,4027.13,58,69,54,26,32,24,32,37,30,10.06,0.12,2.25,2,2,26555,23882,26054,1,1,1,16147,14894,16106,12270,11407,12302,3869,3480,3796,8,7,8,19,17,20,0.5,0.6,0.97,0.01,605,86,616,78,252,4,2836,1090,1152,736,85,15
"""4944320""","""Lehi""",29.69,50153.13,12819.97,17523.54,56,66,60,30,37,34,27,29,26,11.42,13.55,2.20,2,2,26850,24122,23587,1,1,1,16519,14375,14236,12588,10846,10786,3914,3515,3437,18,14,13,16,13,12,3.2,0.7,2.53,0.73,8000,78,10334,89,16,75,1281,1524,1564,1005,81,19
"""4944650""","""Levan""",0.00,1.24,0.39,516.82,49,58,53,19,24,22,30,34,31,10.78,0.01,2.53,2,2,28861,26330,25787,2,2,2,18704,16828,16784,14467,12964,12998,4207,3837,3757,30,27,28,26,23,24,0.5,0.5,0.77,0.00,334,87,417,77,544,3,4574,994,1089,739,73,27
